10 2048 2.85594e+06 2.67212e+06 8.92694e+06 1.65669e+08
11 4096 4.42347e+06 4.34106e+06 8.37899e+06 1.70326e+08
12 8192 4.20473e+06 4.46158e+06 4.69355e+06 1.69089e+08
13 16384 3.87392e+06 4.46951e+06 8.61733e+06 1.57868e+08
14 32768 3.32648e+06 4.96409e+06 9.32592e+06 1.55772e+08
15 65536 2.79267e+06 4.6438e+06 5.66295e+06 1.85208e+08
16 131072 3.06051e+06 3.98144e+06 7.87843e+06 1.52046e+08
17 262144 3.25675e+06 4.02332e+06 6.17132e+06 1.32568e+08
18 524288 3.21821e+06 4.07342e+06 6.9154e+06 1.17708e+08
19 1048576 2.53054e+06 4.21568e+06 7.03744e+06 9.65765e+07
20 2097152 2.84819e+06 4.19947e+06 6.90024e+06 6.60905e+07
21 4194304 2.64879e+06 3.95215e+06 6.20993e+06 6.08421e+07
22 8388608 2.63046e+06 3.43135e+06 4.99392e+06 6.22262e+07
